31073: Gosper, Nebraska
45073: Oconee, South Carolina
42073: Lawrence, Pennsylvania
38073: Ransom, North Dakota
6073: San Diego, California
26073: Isabella, Michigan
47173: Union, Tennessee
18073: Jasper, Indiana
53073: Whatcom, Washington
48273: Kleberg, Texas
48373: Polk, Texas
17073: Henry, Illinois
29173: Ralls, Missouri
39073: Hocking, Ohio
29073: Gasconade, Missouri
19173: Taylor, Iowa
13073: Columbia, Georgia
30073: Pondera, Montana
22073: Ouachita, Louisiana
48173: Glasscock, Texas
12073: Leon, Florida
39173: Wood, Ohio
51173: Smyth, Virginia
20073: Greenwood, Kansas
16073: Owyhee, Idaho
51073: Gloucester, Virginia
40073: Kingfisher, Oklahoma
18173: Warrick, Indiana
37073: Gates, North Carolina
48473: Waller, Texas
21073: Franklin, Kentucky
27073: Lac Qui Parle, Minnesota
17173: Shelby, Illinois
36073: Orleans, New York
20173: Sedgwick, Kansas
21173: Montgomery, Kentucky
55073: Marathon, Wisconsin
31173: Thurston, Nebraska
28073: Lamar, Mississippi
19073: Greene, Iowa
48073: Cherokee, Texas
37173: Swain, North Carolina
54073: Pleasants, West Virginia
46073: Jerauld, South Dakota
13273: Terrell, Georgia
27173: Yellow Medicine, Minnesota
1073: Jefferson, Alabama
47073: Hawkins, Tennessee
18075: Jay, Indiana
37175: Transylvania, North Carolina
17075: Iroquois, Illinois
13275: Thomas, Georgia
40075: Kiowa, Oklahoma
22075: Plaquemines, Louisiana
51175: Southampton, Virginia
51075: Goochland, Virginia
27075: Lake, Minnesota
46075: Jones, South Dakota
36075: Oswego, New York
29075: Gentry, Missouri
17175: Stark, Illinois
12075: Levy, Florida
8075: Logan, Colorado
53075: Whitman, Washington
30075: Powder River, Montana
42075: Lebanon, Pennsylvania
38075: Renville, North Dakota
19075: Grundy, Iowa
48375: Potter, Texas
21075: Fulton, Kentucky
48175: Goliad, Texas
48475: Ward, Texas
13175: Laurens, Georgia
21175: Morgan, Kentucky
16075: Payette, Idaho
28075: Lauderdale, Mississippi
6075: San Francisco, California
26075: Jackson, Michigan
55075: Marinette, Wisconsin
47175: Van Buren, Tennessee
1075: Lamar, Alabama
20175: Seward, Kansas
54075: Pocahontas, West Virginia
47075: Haywood, Tennessee
31075: Grant, Nebraska
39075: Holmes, Ohio
37075: Graham, North Carolina
20075: Hamilton, Kansas
39175: Wyandot, Ohio
45075: Orangeburg, South Carolina
19175: Union, Iowa
29175: Randolph, Missouri
48275: Knox, Texas
31175: Valley, Nebraska
13075: Cook, Georgia
5075: Lawrence, Arkansas
48075: Childress, Texas
18175: Washington, Indiana
51775: Salem City, Virginia
6077: San Joaquin, California
19177: Van Buren, Iowa
40077: Latimer, Oklahoma
48177: Gonzales, Texas
29177: Ray, Missouri
19077: Guthrie, Iowa
51177: Spotsylvania, Virginia
54077: Preston, West Virginia
28077: Lawrence, Mississippi
37077: Granville, North Carolina
53077: Yakima, Washington
31077: Greeley, Nebraska
55077: Marquette, Wisconsin
18177: Wayne, Indiana
17177: Stephenson, Illinois
20177: Shawnee, Kansas
47077: Henderson, Tennessee
30077: Powell, Montana
38077: Richland, North Dakota
48277: Lamar, Texas
51077: Grayson, Virginia
21177: Muhlenberg, Kentucky
17077: Jackson, Illinois
13177: Lee, Georgia
46077: Kingsbury, South Dakota
36077: Otsego, New York
13077: Coweta, Georgia
48377: Presidio, Texas
1077: Lauderdale, Alabama
48477: Washington, Texas
37177: Tyrrell, North Carolina
27077: Lake of The Woods, Minnesota
8077: Mesa, Colorado
47177: Warren, Tennessee
22077: Pointe Coupee, Louisiana
16077: Power, Idaho
39077: Huron, Ohio
31177: Washington, Nebraska
12077: Liberty, Florida
42077: Lehigh, Pennsylvania
29077: Greene, Missouri
13277: Tift, Georgia
48077: Clay, Texas
26077: Kalamazoo, Michigan
21077: Gallatin, Kentucky
18077: Jefferson, Indiana
5077: Lee, Arkansas
20077: Harper, Kansas
45077: Pickens, South Carolina
51678: Lexington City, Virginia
55078: Menominee, Wisconsin
31179: Wayne, Nebraska
40079: Le Flore, Oklahoma
47079: Henry, Tennessee
20079: Harvey, Kansas
18179: Wells, Indiana
19079: Hamilton, Iowa
29079: Grundy, Missouri
27079: Le Sueur, Minnesota
17179: Tazewell, Illinois
26079: Kalkaska, Michigan
